编号,书名,作者,所属领域,适用场景,落地侧重方向,风险倾向
book_001,经济学原理,N.格里高利·曼昆,金融理财,职业选择/资源配置/机会成本分析/经济周期判断,机会成本评估与供需分析框架,稳健
book_002,宏观经济学（第九版）,N·格里高利·曼昆,金融理财,经济周期判断/资产配置/房贷时机/政策敏感型决策,宏观周期识别与货币政策预判,稳健
book_003,宏观经济学二十五讲：中国视角,徐高,金融理财,房产购置时机/行业选择/政策红利判断/城市发展预判,中国政策传导与行业周期分析,稳健
book_004,战略与路径：黄奇帆的十二堂经济课,黄奇帆,金融理财,产业赛道选择/城市落户决策/政策方向预判/国产替代机会,产业链集群分析与要素改革红利,稳健
book_005,分析与思考：黄奇帆的复旦经济课,黄奇帆,金融理财,房产决策/金融风险识别/宏观调控应对/资产配置调整,供给侧改革与房地产长效机制,稳健
book_009,繁荣与衰退,艾伦·格林斯潘,金融理财,创业时机/经济下行应对/行业衰退判断/技能更新规划,创造性破坏与企业家精神驱动,稳健
book_010,时运变迁：世界货币、美元地位与人民币的未来,保罗·沃尔克,金融理财,外汇资产配置/跨境投资决策/汇率风险管理/留学时机,国际货币体系与多币种对冲策略,稳健
book_011,21世纪货币政策,本·伯南克,金融理财,利率敏感决策/通胀对冲策略/货币政策预判/资产配置时机,量化宽松传导与前瞻性指引预判,稳健
book_012,当音乐停止之后,艾伦·布林德,金融理财,金融危机应对/风险敞口评估/资产避险策略/杠杆控制,系统性风险识别与危机应对预案,稳健
book_013,亚洲大趋势：中国和新兴经济体的未来,乔·史塔威尔,金融理财,新兴市场投资/产业升级判断/跨国发展决策/东南亚机遇,三阶段发展模型与地理套利策略,激进成长
book_016,段永平投资问答录（投资逻辑篇）,段永平,金融理财,股票投资/企业估值/长期资产配置/投资思维框架,价值投资能力圈与安全边际实操,激进成长
book_077,创业投资法律手册,杨春宝,金融理财,创业公司注册/股权结构设计/融资条款审查/合伙人协议,公司治理法律架构与VC条款风险识别,稳健
book_078,什么是金融：哈佛商学院金融课,米希尔·德赛,金融理财,投资决策/企业财务分析/资本结构优化/个人资产配置,风险收益权衡与资本配置效率优化,稳健
book_079,公司金融（基础篇）,理查德·A·布雷利,金融理财,项目投资评估/融资方式选择/企业估值/学历投资回报,NPV净现值决策与CAPM资产定价应用,稳健
book_080,金融经济学二十五讲,徐高,金融理财,金融产品理解/市场定价判断/套利机会识别/金融骗局防范,无套利定价与金融产品拆解分析,稳健
book_081,应用公司理财,阿斯瓦斯·达摩达兰,金融理财,企业估值实操/投资回报测算/分红再投资决策/创业估值,DCF现金流折现估值与资本结构优化,激进成长
book_082,穿越寒冬：创业者的融资策略与独角兽思维,史蒂文·霍夫曼,金融理财,创业融资/商业计划书/投资人谈判/创业规模选择,融资阶段匹配与投资人关系管理,激进成长
book_083,超级天使投资,大卫·罗斯,金融理财,天使投资入门/早期项目判断/投资回报预期/创业公司评估,天使投资筛选与组合分散策略,激进成长
book_084,风险投资交易：条款清单全揭秘,布拉德·菲尔德,金融理财,融资条款谈判/VC条款理解/创业者权益保护/Term Sheet解读,优先清算权与董事会控制权设计,稳健
book_086,创业之初你不可不知的融资知识,桂曙光,金融理财,首次融资/商业计划书撰写/投资机构筛选/估值谈判,融资渠道全景图与BP核心逻辑,稳健
book_087,给你一个亿你能干什么,查立,金融理财,创业启动金规划/项目可行性判断/资金使用效率/烧钱节奏,资本效率与MVP验证优先策略,激进成长
book_088,一本书看透股权架构,李利威,金融理财,合伙创业股权分配/股权激励设计/控制权保护/公司架构设计,股权架构6大模型与动态调整,稳健
book_090,股权战争,苏龙飞,金融理财,合伙人纠纷预防/控制权保护/股东协议设计/股权纠纷,创始人控制权保卫与股东权利博弈,稳健
book_091,穷查理宝典,查理·芒格,金融理财,终身学习路径/投资思维框架/跨领域决策/逆向思维,多元思维模型与逆向决策法,激进成长
book_034,微信背后的产品观,张小龙,短视频&广告运营,产品方向决策/功能取舍/用户体验设计/工具型产品定位,用完即走哲学与极简产品设计,激进成长
book_036,真需求,梁宁,短视频&广告运营,产品定位/用户需求分析/市场验证/创业方向选择,需求三层模型与场景驱动验证,激进成长
book_037,俞军产品方法论,俞军,短视频&广告运营,产品经理职业发展/功能优先级排序/用户增长策略,用户价值公式与交易模型思维,激进成长
book_040,上瘾：让用户养成使用习惯的四大产品逻辑,尼尔·埃亚尔,短视频&广告运营,用户留存设计/产品粘性提升/短视频内容策划/App功能设计,Hook上瘾模型与多变酬赏设计,激进成长
book_041,任天堂的体验设计,玉树真一郎,短视频&广告运营,用户体验创新/互动设计/游戏化运营/沉浸式体验设计,直觉化交互与惊喜感创造机制,激进成长
book_042,启示录：打造用户喜爱的产品,Marty Cagan,短视频&广告运营,产品从0到1/产品团队搭建/用户验证流程设计,产品发现方法论与高保真原型验证,激进成长
book_043,用户体验要素,Jesse James Garrett,短视频&广告运营,网站App设计/信息架构规划/产品设计流程优化,用户体验五层模型与UCD设计流程,稳健
book_044,用户体验度量,TOM TULIS,短视频&广告运营,产品优化决策/A/B测试/用户体验评估/数据驱动设计,可用性量化评估与体验ROI计算,稳健
book_045,简约至上：交互式设计四策略,贾尔斯·科尔伯恩,短视频&广告运营,AppWeb交互设计/功能简化决策/用户引导设计,删除组织隐藏转移四策略与认知负担最小化,稳健
book_046,定位,杰克·特劳特,短视频&广告运营,品牌定位/市场竞争策略/创业赛道选择/广告文案策划,心智占据理论与差异化品类策略,激进成长
book_047,21世纪的定位,艾·里斯,短视频&广告运营,品牌全球化/新消费品牌创立/品牌视觉设计,全球品牌定位与视觉锤语言钉,激进成长
book_048,升级定位,冯卫东,短视频&广告运营,新品牌命名/品牌升级/差异化策略,品牌三问与信任状体系构建,激进成长
book_049,参与感：小米口碑营销内部手册,黎万强,短视频&广告运营,社群运营/粉丝经济/口碑营销/社交媒体运营,参与感三三法则与自媒体矩阵策略,激进成长
book_050,超级符号就是超级创意,华杉,短视频&广告运营,品牌命名与设计/广告创意/营销文案/品牌资产积累,超级符号理论与文化母体寄生,激进成长
book_051,如何让他买：改变消费者行为的十大策略,亚当·费里尔,短视频&广告运营,促销策略/转化率优化/消费者行为分析/广告投放策略,行为科学营销与选择架构设计,激进成长
book_052,影响力,罗伯特·西奥迪尼,短视频&广告运营,销售谈判/营销文案/商务沟通/社交媒体传播,六大影响力原则与自动响应机制,稳健
book_054,疯传,乔纳·伯杰,短视频&广告运营,短视频内容策划/病毒营销/社交传播策略/内容创作,STEPPS六原则传播模型与社交货币设计,激进成长
book_055,引爆点：如何制造流行,马尔科姆·格拉德威尔,短视频&广告运营,活动策划/流行趋势预判/KOL合作策略/内容引爆,流行三法则与关键少数驱动传播,激进成长
book_056,很久很久以前：以神话原型打造深植人心的品牌,玛格丽特·马克,短视频&广告运营,品牌故事创作/品牌人格塑造/IP打造/品牌内容策略,品牌12原型模型与原型驱动叙事,稳健
book_057,如何让品牌直击人心：品牌的12个心理原型,玛格丽特·马克,短视频&广告运营,品牌策略升级/消费者心理洞察/品牌传播一致性,原型与消费者深层动机匹配,稳健
book_058,文化战略,道格拉斯·霍尔特,短视频&广告运营,品牌文化定位/社会趋势洞察/品牌文化营销/亚文化运营,文化创新理论与意识形态机遇识别,激进成长
book_059,第4消费时代,三浦展,短视频&广告运营,消费趋势判断/品牌定位调整/零售业态选择/商业模式设计,消费社会四阶段演变与简约化趋势,稳健
book_061,回头客战略,佚名,短视频&广告运营,电商运营/客户忠诚度/复购率提升/会员体系设计,客户终身价值最大化与复购率驱动,稳健
book_062,增长黑客,肖恩·埃利斯,短视频&广告运营,用户增长/产品优化/增长团队搭建/数据驱动决策,AARRR海盗指标与增长实验驱动,激进成长
book_063,硅谷增长黑客实战笔记,曲卉,短视频&广告运营,增长团队管理/增长实验设计/数据指标体系/用户增长实操,增长实验流水线与跨职能协作,激进成长
book_065,精益数据分析,阿利斯泰尔·克罗尔,短视频&广告运营,数据分析体系搭建/关键指标选择/商业模式验证/数据驱动运营,第一关键指标法与精益分析框架,稳健
book_066,拉新：快速实现用户增长,佚名,短视频&广告运营,用户获取策略/投放优化/渠道选择/增长预算分配,CAC优化与多渠道拉新策略,激进成长
book_067,关系飞轮,徐志斌,短视频&广告运营,私域运营/社群经济/用户关系管理/品牌忠诚度,私域三阶段信任关系飞轮构建,激进成长
book_068,小群效应,徐志斌,短视频&广告运营,社群运营/微信生态运营/用户裂变/KOC培养,小群社交传播法则与社群活跃驱动,激进成长
book_069,直播电商的逻辑,楚燕来,短视频&广告运营,直播带货/短视频电商/主播培养/供应链选品,人货场重构与直播间转化漏斗优化,激进成长
book_070,流媒体时代：新媒体与娱乐行业的未来,佚名,短视频&广告运营,自媒体运营/内容创业/平台选择/短视频内容策略,内容分发算法逻辑与创作者经济,激进成长
book_014,激荡三十年：中国企业1978～2008,吴晓波,底层认知思维,行业趋势判断/创业时机选择/政策红利识别/企业战略调整,中国商业周期识别与政策窗口期把握,激进成长
book_015,小米创业思考,雷军,底层认知思维,创业方向选择/产品定价策略/商业模式设计/效率优化,极致性价比与铁人三项商业模式,激进成长
book_017,经营者养成笔记,柳井正,底层认知思维,管理者能力提升/店铺运营/团队领导/零售创业,当事者意识与现场主义管理,激进成长
book_018,一胜九败：优衣库全球热卖的秘密,柳井正,底层认知思维,服装零售创业/连锁经营/品牌出海/供应链管理,试错迭代快速修正与SPA模式,激进成长
book_019,富甲美国：沃尔玛创始人自传,萨姆·沃尔顿,底层认知思维,零售创业/连锁扩张/成本控制体系搭建/选址策略,低价战略规模效应与小镇包围城市,激进成长
book_020,一只小鸟告诉我的事：推特联合创始人自传,Biz Stone,底层认知思维,互联网创业/社交产品设计/创业心态管理/技术创业,约束激发创意与使命驱动创业,激进成长
book_021,从0到1：开启商业与未来的秘密,彼得·蒂尔,底层认知思维,创业赛道选择/差异化竞争/技术创新方向/投资决策,垄断创新与幂次法则,激进成长
book_022,经营管理全集,松下幸之助,底层认知思维,制造企业管理/企业文化塑造/人才培养体系/组织架构设计,水道哲学与造物先造人理念,稳健
book_023,创新者的解答,克莱顿·克里斯坦森,底层认知思维,行业颠覆机会识别/创新方向选择/竞争策略/产品架构设计,破坏性创新三要素与价值网络迁移,激进成长
book_024,精益创业：新创企业的成长思维,埃里克·里斯,底层认知思维,创业启动/产品验证/商业模式测试/创业方向调整,Build-Measure-Learn循环与MVP验证,激进成长
book_025,精益创业实战,Ash Maurya,底层认知思维,商业模式设计/客户需求验证/创业计划书/精益方法论,精益画布与客户访谈问题-解决方案匹配,激进成长
book_026,重新定义公司：谷歌是如何运营的,埃里克·施密特,底层认知思维,科技公司管理/招聘策略/组织文化建设/创新管理,创意精英人才战略与技术洞见驱动,激进成长
book_027,格鲁夫给经理人的第一课,安迪·格鲁夫,底层认知思维,新晋管理者/团队效率提升/会议管理/中层管理技能,管理杠杆率与一对一会议最佳实践,稳健
book_028,关乎天下：中小企业赢的秘诀,关明生,底层认知思维,中小企业管理/销售团队搭建/企业文化从0到1/管理流程标准化,道天地将法框架与销售管理五步法,稳健
book_029,创业维艰,本·霍洛维茨,底层认知思维,创业危机应对/CEO角色认知/团队裁员决策/逆境领导力,战时CEOvs和平CEO切换与逆境决策,激进成长
book_030,创业之殇：初创企业为什么失败,范莱布,底层认知思维,创业风险预判/合伙人选择/创业节奏控制/失败预防,失败归因模型与过早规模化陷阱,稳健
book_031,大败局I,吴晓波,底层认知思维,企业风险识别/扩张节奏控制/政商关系处理/失败案例学习,政商关系与盲目多元化失败归因,稳健
book_032,大败局II,吴晓波,底层认知思维,资本运作风险/品牌管理/公司治理结构/企业危机管理,资本运作陷阱与品牌透支教训,稳健
book_033,十亿美金的教训,林军,底层认知思维,互联网创业/融资节奏/创始人成长/商业模式可持续性,资本催熟陷阱与创始人自我认知偏差,稳健
book_038,鞋狗：耐克创始人亲笔自传,菲尔·奈特,底层认知思维,品牌创业/长期主义vs短期利益/供应链搭建/运动消费品创业,热爱驱动长期主义与品牌信仰构建,激进成长
book_039,Little Black Stretchy Pants,Chip Wilson,底层认知思维,DTC品牌创业/细分市场选择/社区零售/瑜伽运动服饰创业,细分人群深耕与社区驱动零售,激进成长
book_092,高效能人士的七个习惯,史蒂芬·柯维,个人成长&学历考证,个人效能提升/时间管理/职业规划/人际关系改善/习惯养成,七个习惯框架与影响圈关注圈,稳健
book_094,金字塔原理,芭芭拉·明托,个人成长&学历考证,职场汇报/论文写作/逻辑思维训练/职场沟通/问题分析,MECE法则与SCQA表达框架,稳健
book_095,创造时间：专注于每天最重要的事,杰克·纳普,个人成长&学历考证,时间管理/深度工作/注意力管理/拖延症克服/日常效率,每日Highlight聚焦法与时间保护四策略,稳健
book_096,OKR：源于英特尔和谷歌的目标管理利器,保罗·R·尼文,个人成长&学历考证,个人目标设定/团队管理/绩效考核设计/季度规划/目标追踪,OKR框架与对齐透明化驱动效能,激进成长
book_097,这就是OKR：让谷歌、亚马逊实现爆炸性增长的工作法,约翰·杜尔,个人成长&学历考证,个人年度规划/组织变革/目标落地/高绩效文化/职业突破,OKR四大利器与CFR管理闭环,激进成长
book_099,奈飞文化手册,帕蒂·麦考德,个人成长&学历考证,企业文化设计/职业选择/团队建设/招聘标准/自我驱动成长,自由与责任文化及4A坦诚反馈原则,激进成长
book_100,认知觉醒：开启自我改变的原动力,周岭,个人成长&学历考证,学习效率提升/习惯养成/认知升级/焦虑管理/自律能力,元认知训练与舒适区边缘拉伸,稳健
book_006,思考，快与慢（待扩充）,丹尼尔·卡尼曼,底层认知思维,消费决策/投资判断/谈判策略/风险感知校准,系统1与系统2双过程理论,稳健
book_007,原则（待扩充）,瑞·达利欧,底层认知思维,个人决策系统搭建/投资策略/团队管理/人生原则设计,极度透明与五步流程法,激进成长
book_008,黑天鹅（待扩充）,纳西姆·塔勒布,底层认知思维,风险管理/投资组合/职业抗风险/危机应对,黑天鹅事件与反脆弱杠铃策略,激进成长
book_035,让创意更有黏性（待扩充）,Chip Heath,短视频&广告运营,广告创意/演讲设计/内容营销/品牌故事,SUCCESs六原则与创意传播黏性,激进成长
book_053,流量池（待扩充）,杨飞,短视频&广告运营,品牌营销/裂变增长/广告投放/流量运营,流量池思维与品效合一方法论,激进成长
book_060,新零售：低价高效的数据赋能之路（待扩充）,刘润,短视频&广告运营,零售创业/电商转型/门店数字化/供应链优化,新零售人货场重构与数据智能驱动,激进成长
book_064,数据驱动：从方法到实践（待扩充）,佚名,短视频&广告运营,数据分析体系/产品迭代/用户画像/精细化运营,数据指标体系搭建与用户行为分析,稳健
book_071,私域流量（待扩充）,佚名,短视频&广告运营,私域运营/微信生态/用户沉淀/复购体系,私域流量池搭建与全域营销闭环,激进成长
book_072,内容算法（待扩充）,闫泽华,短视频&广告运营,短视频内容创作/算法理解/内容分发策略/平台运营,推荐算法机制与内容标签分发逻辑,激进成长
book_073,创作者经济（待扩充）,佚名,短视频&广告运营,自媒体创业/内容变现/个人IP打造/知识付费,创作者商业模式与1000个铁杆粉丝,激进成长
book_074,社交电商：从0到1（待扩充）,佚名,短视频&广告运营,社交电商创业/分销体系/选品策略/社群转化,社交电商人货场与信任代理机制,激进成长
book_075,B站运营：从入门到精通（待扩充）,佚名,短视频&广告运营,B站内容创作/UP主职业化/年轻用户运营/视频内容策略,B站社区文化与UP主成长路径,激进成长
book_076,小红书运营实战（待扩充）,佚名,短视频&广告运营,小红书运营/内容种草/品牌投放/女性消费市场,小红书社区调性与种草笔记转化逻辑,激进成长
book_085,并购之王（待扩充）,佚名,金融理财,企业并购/公司出售/尽职调查/整合管理,企业并购全流程与协同效应实现,激进成长
book_089,财务报表分析（待扩充）,佚名,金融理财,投资尽调/财务分析/企业健康诊断/价值投资,杜邦分析体系与财务造假识别框架,稳健
book_093,刻意练习（待扩充）,安德斯·艾利克森,个人成长&学历考证,技能学习/专业精进/学习方法设计/能力提升路径,刻意练习三要素与心理表征构建,稳健
book_098,终身成长（待扩充）,卡罗尔·德韦克,个人成长&学历考证,学习心态调整/职业转型/能力认知/挫折应对,成长型思维vs固定型思维,稳健